release_date,budget
8/18/2016,40000000
6/23/2000,45000000
10/19/2016,60000000
3/10/2022,190000000
6/11/1986,6000000
6/12/2019,110000000
7/10/2008,45000000
9/13/2016,15000000
9/19/1997,35000000
10/11/2019,0
10/12/2017,120000000
3/23/2018,62770198
12/22/2004,80000000
6/27/2013,150000000
3/2/2016,60000000
5/16/2011,20000000
3/22/2007,61000000
5/31/2023,100000000
3/24/2011,82000000
11/7/1997,105000000
1/21/2011,25000000
11/12/1997,70000000
9/18/1998,33000000
9/10/2015,5000000
2/18/2011,50000000
2/15/2007,60000000
11/22/2006,75000000
7/14/1999,60000
12/13/2019,150000000
10/18/2019,11000000
12/17/1964,6000000
1/20/2006,4200000
10/18/2018,10000000
6/2/2001,120000000
3/22/2002,54000000
9/9/1997,350000
2/8/2001,87000000
8/3/2009,175000000
3/27/2008,35000000
1/3/2019,9000000
3/12/2016,0
12/25/2008,60000000
6/9/2010,110000000
5/24/2002,46000000
9/5/2008,37000000
5/17/2019,40000000
3/19/2009,175000000
11/27/2018,100000000
8/21/2013,60000000
12/22/2017,50000000
5/26/1995,50000000
9/5/2018,88000000
9/16/2005,50000000
5/12/2010,200000000
8/30/2019,19000000
12/4/2007,180000000
10/20/1995,13200000
12/3/2014,140000000
11/17/2016,85000000
10/9/2013,4300000
7/4/2001,45000000
12/26/2009,65000000
5/24/2002,80000000
5/22/1998,18500000
8/13/2014,25000000
6/7/1996,75000000
4/5/2013,17000000
4/8/2022,110000000
5/24/2001,52500000
9/28/2016,110000000
10/10/2019,0
1/6/2017,4000000
2/20/2015,8500000
3/10/2005,75000000
10/16/2013,30000000
4/27/2017,18000000
3/23/2017,105000000
3/3/2011,50200000
9/13/2006,60000000
9/9/2011,25000000
10/5/2001,21000000
9/25/1987,16000000
11/30/1990,20000000
6/23/2016,105000000
11/4/2009,200000000
5/4/2016,35000000
3/6/1987,15000000
6/22/2022,17000000
12/19/2012,40000000
12/6/2002,20000000
2/11/2016,0
11/22/1991,30000000
6/15/2010,117000000
5/17/2006,80000000
8/18/2017,50000000
4/4/2012,50000000
10/2/1998,60000000
12/13/2007,60000000
10/24/1998,0
7/1/2009,100000000
8/11/2016,12000000
